Mineral Name	reference to the mineral
----------------------------------------	----------------------------------------
Earth BS	Morlok et al., Icarus 324, 86-103.
Mars BS	Morlok et al., Icarus 324, 86-103.
Allende	Morlok et al. (2020) Planetary and Space Science 193, 105078.
AubriteNC14027-5	Morlok et al.(2020) Meteoritics & Space Science 55, 2080-2096.
HaH 280	Morlok et al. (2020) Planetary and Space Science 193, 105078.
Olivine 10%Px	Weber et al., EPSL 569, 117072.
Earth BS	Morlok et al., Icarus 324, 86-103.
San Carlos Olivine	Weber et al. EPSL 530, 115884
Basalt891 A3 Block	Morlok et al.(2020) Icarus 335, 113410 (10.1016/j.icarus.2019.113410).
NWA10574	Morlok et al. (2020) Planetary and Space Science 193, 105078.
Tagish Lake	Morlok et al. (2020) Planetary and Space Science 193, 105078.
Andesine	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
NC Pep	Morlok et al.(2017) Icarus 123-138.
Anorthite 50 syn	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
MixEnstatite53 Olivine135 30%-70%	Weber et al., EPSL 569, 117072.
Chelyabinsk melt	Morlok et al.(2017) Icarus 284, 431-442.
Chelyabinsk Melt	Morlok et al.(2017) Icarus 284, 431-442.
Apollo 67481,96	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
Chelyabinsk melt	#######################################
HaH 280	Morlok et al. (2020) Planetary and Space Science 193, 105078.
10 BD3 Fsp	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
CBC Pep	Morlok et al.(2017) Icarus 123-138.
Apollo 62231,55	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
PD vdK	Morlok et al.(2017) Icarus 123-138.
NP HMg vdK	Morlok et al.(2017) Icarus 123-138.
10 BD2 Fsp1	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
10 BD5 Fsp	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
PD vdK	Morlok et al.(2017) Icarus 123-138.
Apollo 62231,55	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
NWA10574	Morlok et al. (2020) Planetary and Space Science 193, 105078.
NC Pep	Morlok et al.(2017) Icarus 123-138.
Chelyabinsk Melt	Morlok et al.(2017) Icarus 284, 431-442.
Earth Cont.Crust	Morlok et al., Icarus 324, 86-103.
Mars Surface	Morlok et al., Icarus 324, 86-103.
Earth Cont.Crust	Morlok et al., Icarus 324, 86-103.
Apollo 15401,147	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
Pena Blanca Spring	Morlok et al. (2020) Meteoritics & Planetary Science 55, 2080-2096.
Earth Cont.Crust	Morlok et al., Icarus 324, 86-103.
Ornans	Morlok et al.(2020) Planetary and Space Science 193, 105078.
Chelyabinsk Dark	Morlok et al.(2017) Icarus 284, 431-442.
Murchison PL 89414	Morlok et al. (2020) Planetary and Space Science 193, 105078.
Basalt891 A3 Block	Morlok et al.(2020) Icarus 335, 113410 (10.1016/j.icarus.2019.113410).                                 #######################################
Chelyabinsk Dark	Morlok et al.(2017) Icarus 284, 431-442.
Earth Cont.Crust	Morlok et al., Icarus 324, 86-103.
Apollo 15101,319	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
10 BD2 Fsp2	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
Mars BS	Morlok et al., Icarus 324, 86-103.
AubriteNC14027-9	Morlok et al.(2020) Meteoritics & Space Science 55, 2080-2096.
Allende	Morlok et al. (2020) Planetary and Space Science 193, 105078.
Apollo 61220,41	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
San Carlos Olivine	Weber et al. EPSL 530, 115884
Apollo 15401,147	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
Basalt891 A3 Block	Morlok et al.(2020) Icarus 335, 113410 (10.1016/j.icarus.2019.113410).
Sanidine-tempered	Reitze et al., 2020,Mid-infrared spectroscopy of alkali feldspar samples for space application, Mineral. Petrol., https://doi.org/10.1007/s00710-020-00709-9
Earth Cont.Crust	Morlok et al., Icarus 324, 86-103.
SW-2 Mix Enstatite53 Olivine135 30%70%	Weber et al., EPSL 569, 117072.
NWA10574	Morlok et al. (2020) Planetary and Space Science 193, 105078.
Anorthite 100 syn	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
Basalt891 Drop	Morlok et al. Icarus, Volume 335, article id. 113410.
NVPa Stock	Morlok et al.(2017) Icarus 123-138.
Pena Blanca Spring	Morlok et al. (2020) Meteoritics & Planetary Science 55, 2080-2096.
10 BD5 Fsp	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
G2 Char2	Morlok et al.(2017) Icarus 123-138.
NP HMg vdK	Morlok et al.(2017) Icarus 123-138.
IT vdK	Morlok et al.(2017) Icarus 123-138.
Apollo 15401,147	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
ICP-HCTa Stock	Morlok et al.(2017) Icarus 123-138.
IC Pep	Morlok et al.(2017) Icarus 123-138.
Labradorite	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
NC Pep	Morlok et al.(2017) Icarus 123-138.
Sanidine-tempered	Reitze et al., 2020,Mid-infrared spectroscopy of alkali feldspar samples for space application, Mineral. Petrol., https://doi.org/10.1007/s00710-020-00709-9
Chelyabinsk Dark	Morlok et al.(2017) Icarus 284, 431-442.
Chelyabinsk dark	Morlok et al.(2017) Icarus 284, 431-442.
Earth MORB	Morlok et al., Icarus 324, 86-103.
AubriteNC14026-7	Morlok et al.(2020) Meteoritics & Space Science 55, 2080-2096.
Apollo 15101,319	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
Renchen	Bischoff et al. 2019, The Renchen L5-6 chondrite breccia â€“ The first confirmed meteorite fall from Baden-WÃ¼rttemberg (Germany), https://doi.org/10.1016/j.chemer.2019.07.007
IC Pep	Morlok et al.(2017) Icarus 123-138.
MixEnstatite53 Olivine135 70%-30%	Weber et al., EPSL 569, 117072.
Alais PL 92322	Bischoff et a., 2021, The old, unique C1 chondrite Flensburg â€“ Insight into the first processes of aqueous alteration, brecciation, and the diversity of water-bearing parent bodies and lithologies, https://doi.org/10.1016/j.gca.2020.10.014.
RB-2 vdK	Morlok et al.(2017) Icarus 123-138.
HaH 280	Morlok et al. (2020) Planetary and Space Science 193, 105078.
Chelyabinsk light	Morlok et al.(2017) Icarus 284, 431-442.
Murchison PL 89414	Morlok et al. (2020) Planetary and Space Science 193, 105078.
Oligoclase	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
Venus Surface	Morlok et al., Icarus 324, 86-103.
Apollo 14259,672	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
Chelyabinsk dark	Morlok et al.(2017) Icarus 284, 431-442.
G2 Char2	Morlok et al.(2017) Icarus 296. 123-138.
Anorthite 100 syn	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
Labradorite	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
Andesine	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
San Carlos Olivine	Weber et al. EPSL 530, 115884
CB vdK	Morlok et al.(2017) Icarus 123-138.
AubriteNC14026-8	Morlok et al.(2020) Meteoritics & Space Science 55, 2080-2096.
Labradorite	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
Earth Cont.Crust	Morlok et al., Icarus 324, 86-103.
Chelyabinsk dark	Morlok et al.(2017) Icarus 284, 431-442.
HaH 280	Morlok et al. (2020) Planetary and Space Science 193, 105078.
SW-2 Mix Enstatite53 Olivine135 70%-30%	Weber et al., EPSL 569, 117072.
Basalt891 Drop	Morlok et al. Icarus, Volume 335, article id. 113410.
Labradorite	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
Basalt891 A3 Block	Morlok et al.(2020) Icarus 335, 113410 (10.1016/j.icarus.2019.113410).
Labradorite	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
En53 Ol153 70 30	Weber et al., EPSL 569, 117072.
Apollo 14259,672	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
AubriteNC14026-10	Morlok et al.(2020) Meteoritics & Space Science 55, 2080-2096.
G2 Char2	Morlok et al.(2017) Icarus 123-138.
IT vdK	Morlok et al.(2017) Icarus 123-138.
Olivine 10%Px	Weber et al., EPSL 569, 117072.
Mars Regolith	Morlok et al., Icarus 324, 86-103.
Apollo 14163,135	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
RB-2 vdK	Morlok et al.(2017) Icarus 123-138.
Anorthite 100 syn	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
ICP-HCTa Stock	Morlok et al.(2017) Icarus 123-138.
Vigarano	Morlok et al.(2020) Planetary and Space Science 193, 105078.
AubriteNC14027-8	Morlok et al.(2020) Meteoritics & Space Science 55, 2080-2096.
10BD2	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
Olivine 10%Px	Weber et al., EPSL 569, 117072.
Pena Blanca Spring	Morlok et al. (2020) Meteoritics & Planetary Science 55, 2080-2096.
Basalt891 A3 Block	Morlok et al.(2020) Icarus 335, 113410 (10.1016/j.icarus.2019.113410).
Anorthite 50 syn	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
NC Pep	Morlok et al.(2017) Icarus 123-138.
Apollo 15401,147	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
Ornans	Morlok et al.(2020) Planetary and Space Science 193, 105078.
Apollo 67481,96	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
Basalt891 A3 Block	Morlok et al.(2020) Icarus 335, 113410 (10.1016/j.icarus.2019.113410).                                 #######################################
Anorthite 100 syn	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
Apollo 62231,55	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
Venus Surface	Morlok et al., Icarus 324, 86-103.
Anorthite 50 syn	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
RB-2 vdK	Morlok et al.(2017) Icarus 296. 123-138.
Vigarano	Morlok et al.(2020) Planetary and Space Science 193, 105078.
Allende	Morlok et al.(2020) Planetary and Space Science 193, 105078.
Apollo 15401,147	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
Anorthite 100 syn	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
CBC Pep	Morlok et al.(2017) Icarus 123-138.
Chelyabinsk Melt	Morlok et al.(2017) Icarus 284, 431-442.
CBC Pep	Morlok et al.(2017) Icarus 296, 123-138.
RB-2 vdK	Morlok et al.(2017) Icarus 123-138.
Apollo 14259,672	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
Earth Cont.Crust	Morlok et al., Icarus 324, 86-103.
Chelyabinsk melt	Morlok et al.(2017) Icarus 284, 431-442.
AubritePBS90244-12	Morlok et al.(2020) Meteoritics & Space Science 55, 2080-2096.
Cold Bokkeveld PL17148	Bischoff et a., 2021, The old, unique C1 chondrite Flensburg â€“ Insight into the first processes of aqueous alteration, brecciation, and the diversity of water-bearing parent bodies and lithologies, https://doi.org/10.1016/j.gca.2020.10.014.
San Carlos Olivine	Weber et al. EPSL 530, 115884
MixEnstatite53 Olivine135 15%-85%	Weber et al., EPSL 569, 117072.
RB-2 vdK	Morlok et al.(2017) Icarus 123-138.
Earth MORB	Morlok et al., Icarus 324, 86-103.
Flensburg PL 19171	Bischoff et a., 2021, The old, unique C1 chondrite Flensburg â€“ Insight into the first processes of aqueous alteration, brecciation, and the diversity of water-bearing parent bodies and lithologies, https://doi.org/10.1016/j.gca.2020.10.014.
10BD2	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
{	"\u001b[0;36m  File \u001b[0;32m\"<ipython-input-2-57c0eb75c56b>\"\u001b[0;36m, line \u001b[0;32m3\u001b[0m\n\u001b[0;31m    Earth BS\u001b[0m\n\u001b[0m          ^\u001b[0m\n\u001b[0;31mSyntaxError\u001b[0m\u001b[0;31m:\u001b[0m invalid syntax\n"
Mars BS	Morlok et al., Icarus 324, 86-103.
Labradorite	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
10 BD2 Fsp2	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
Basalt891 A3 Block	Morlok et al.(2020) Icarus 335, 113410 (10.1016/j.icarus.2019.113410).
CBC Pep	Morlok et al.(2017) Icarus 123-138.
San Carlos Olivine	Weber et al. EPSL 530, 115884
RB-2 vdK	Morlok et al.(2017) Icarus 123-138.
Chelyabinsk melt	Morlok et al.(2017) Icarus 284, 431-442.
10BD3 Dark4+	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
Apollo 15401,147	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
Tagish Lake	Morlok et al. (2020) Planetary and Space Science 193, 105078.
